timesec,time,cycle,sattrack,lat,lon,height,geoid,lakeid
646639781.5084,2020.49,60,34,38.932915,64.634483,235.701237648716,-36.4048952067,4610001882
646639781.557565,2020.49,60,34,38.930041,64.633556,235.429540609043,-36.4075424066,4610001882
646639781.606743,2020.49,60,34,38.927166,64.63263,235.403619338163,-36.4101653907,4610001882
646639781.655921,2020.49,60,34,38.92429,64.631703,234.828963070289,-36.4127533932,4610001882
646639781.705099,2020.49,60,34,38.921415,64.630776,235.253060516911,-36.4152950948,4610001882
646639781.754277,2020.49,60,34,38.918539,64.629849,235.448603837855,-36.4177826861,4610001882
646639781.803456,2020.49,60,34,38.915664,64.628923,238.787782225566,-36.4202053288,4610001882
646639781.852634,2020.49,60,34,38.912789,64.627996,240.014901755283,-36.4225691135,4610001882
646639781.9018,2020.49,60,34,38.909914,64.62707,240.077270191307,-36.4248818045,4610001882
646639781.950979,2020.49,60,34,38.907038,64.626144,240.466688567944,-36.4271444515,4610001882
646639782.098501,2020.49,60,34,38.898413,64.623365,240.386653051434,-36.4336219979,4610001882
646639782.14768,2020.49,60,34,38.895537,64.622439,240.395963623786,-36.4356670016,4610001882
646639782.196858,2020.49,60,34,38.892662,64.621513,240.615217386636,-36.4376551838,4610001882
646639782.246036,2020.49,60,34,38.889787,64.620587,240.651525193686,-36.4395974102,4610001882
646639782.295201,2020.49,60,34,38.886912,64.619661,240.518096376909,-36.4415030128,4610001882
646639782.344379,2020.49,60,34,38.884036,64.618735,240.328740966892,-36.4433820341,4610001882
648972581.343126,2020.564,61,34,38.936173,64.628867,239.965609018896,-36.3924462679,4610001882
648972581.392304,2020.564,61,34,38.933298,64.62794,239.940802417852,-36.3951593364,4610001882
648972581.441483,2020.564,61,34,38.930423,64.627014,240.386755585404,-36.3978321735,4610001882
648972581.589057,2020.564,61,34,38.921794,64.624233,239.990536253565,-36.4056718777,4610001882
648972581.638236,2020.564,61,34,38.918919,64.623306,239.922832430431,-36.4081877241,4610001882
648972581.687414,2020.564,61,34,38.916044,64.62238,239.939564151579,-36.4106391148,4610001882
